Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
glass1,RLO,10,0.5517165005537099,0.03957317507506343,0.34152057156935206,0.10280812877441539,0.45669806206995156,0.07128872928745597,0.5517165005537099,0.03957317507506343
wisconsin,RLO,10,0.9517067410905968,0.014991229850048023,0.9298135000257242,0.02353901668401899,0.9437921245695561,0.02190191828640532,0.9517067410905968,0.014991229850048023
pima,RLO,10,0.7005517358458536,0.05907296646998871,0.5614007823224985,0.08177247323468359,0.6533025072848379,0.06552608379938313,0.7005517358458536,0.05907296646998871
ecoli2,RLO,10,0.7527655838454785,0.09738126994266401,0.48240514075887386,0.11769904574323234,0.7289261387571982,0.13609138526495454,0.7527655838454785,0.09738126994266401
vowel0,RLO,10,0.914874634671589,0.06184980543616359,0.6066289493399468,0.18489599197913828,0.7800299183811713,0.16287676931674414,0.914874634671589,0.06184980543616359
glass1,RLO,20,0.5188261351052048,0.06232913888948288,0.32328422351642166,0.11185131694663039,0.43006524402795643,0.1001091405606655,0.5188261351052048,0.06232913888948288
wisconsin,RLO,20,0.9472520395019322,0.02570747028149962,0.9193258792878855,0.04791311644467098,0.9331069597824643,0.04837172080888147,0.9472520395019322,0.02570747028149962
pima,RLO,20,0.6730583142347848,0.05053087669483919,0.5291773673486594,0.06446061838791427,0.626137810225658,0.05320946286566425,0.6730583142347848,0.05053087669483919
ecoli2,RLO,20,0.8509657594381036,0.05452956809984685,0.5593336616943428,0.1190333062029382,0.7222895839071678,0.08781265837829864,0.8509657594381036,0.05452956809984685
vowel0,RLO,20,0.9422242731887401,0.04858276752242079,0.7151316116833358,0.15552041542656192,0.8138816439569359,0.06912202644063307,0.9422242731887401,0.04858276752242079
glass1,RLO,30,0.5933554817275747,0.05080341489332965,0.49319942611190815,0.07191827411807394,0.5591088736342247,0.03801166230366228,0.5933554817275747,0.05080341489332965
wisconsin,RLO,30,0.953198797767282,0.019297758539618775,0.9308738959150172,0.03134295423681966,0.944442449538857,0.032844986077283644,0.953198797767282,0.019297758539618775
pima,RLO,30,0.6770477888124946,0.01925259437492459,0.5823792225044933,0.01730798800414793,0.6682856649055335,0.01419147505964877,0.6770477888124946,0.01925259437492459
ecoli2,RLO,30,0.8485074626865672,0.09660072313602631,0.6318152065636857,0.15237291959864452,0.7951723589387202,0.10121649682217816,0.8485074626865672,0.09660072313602631
vowel0,RLO,30,0.8126647182484745,0.12149191420444377,0.4661179088093129,0.16254378345752168,0.7604477770087278,0.08327905049221417,0.8126647182484745,0.12149191420444377
glass1,RLO,40,0.5703211517165006,0.08155302226283463,0.29014048856966107,0.1689105300480774,0.4193086046346018,0.14566170092519265,0.5703211517165006,0.08155302226283463
wisconsin,RLO,40,0.9487977672820953,0.01951432905678419,0.9252525252525252,0.03227140336514047,0.9413092391954958,0.03137758921449132,0.9487977672820953,0.01951432905678419
pima,RLO,40,0.7278584160937103,0.030348366884035777,0.6201239923181706,0.028368691137379172,0.6979393966845331,0.022541777862467575,0.7278584160937103,0.030348366884035777
ecoli2,RLO,40,0.735513608428446,0.16828253859616682,0.5353087067372782,0.23346262757440586,0.7437048089919451,0.15269878440634016,0.735513608428446,0.16828253859616682
vowel0,RLO,40,0.9251294672614471,0.07402750599015151,0.6753737902963909,0.20808201043183042,0.7974234873766534,0.10278208759364689,0.9251294672614471,0.07402750599015151
glass1,RLO,50,0.5984496124031008,0.0630533314966287,0.32677124183006534,0.15859410983432654,0.4473930987532683,0.14234709554897407,0.5984496124031008,0.0630533314966287
wisconsin,RLO,50,0.9546371833404896,0.014835547364729557,0.9359848484848484,0.02048258459787242,0.952518807804821,0.014641010071931125,0.9546371833404896,0.014835547364729557
pima,RLO,50,0.6354129530600119,0.13527511641831166,0.5757659546130308,0.06760983210308812,0.6077111662569602,0.13564375346673266,0.6354129530600119,0.13527511641831166
ecoli2,RLO,50,0.8630377524143986,0.05548282397367936,0.5523109243697479,0.10856365583437086,0.6970156524286089,0.1374328744810915,0.8630377524143986,0.05548282397367936
vowel0,RLO,50,0.8926524124493668,0.059914023737847155,0.6129896969015773,0.13363049862205856,0.8512580529374203,0.04718847975176398,0.8926524124493668,0.059914023737847155
glass1,RLO,60,0.5610188261351052,0.07411476231101687,0.46231703499255683,0.06475626559532945,0.5222913998239166,0.07947724165809097,0.5610188261351052,0.07411476231101687
wisconsin,RLO,60,0.957546157148991,0.0028473013598343117,0.9394247642026761,0.004543705130096213,0.9537327404800596,0.006857065750539504,0.957546157148991,0.0028473013598343117
pima,RLO,60,0.6966216789746202,0.06510962377659274,0.5636196236144396,0.0947570165211293,0.6531494065955548,0.07944806619123347,0.6966216789746202,0.06510962377659274
ecoli2,RLO,60,0.6666374012291484,0.1367187903974609,0.46957532720690615,0.08838546430804148,0.7213308978491468,0.07385973550613868,0.6666374012291484,0.1367187903974609
vowel0,RLO,60,0.9453468697123519,0.014773957618432344,0.6923628342983182,0.0870058489266695,0.814842851835226,0.10673095377491808,0.9453468697123519,0.014773957618432344
glass1,RLO,70,0.527796234772979,0.07706431849728979,0.3395652173913043,0.08047335408848541,0.4475311944050281,0.04984766263361825,0.527796234772979,0.07706431849728979
wisconsin,RLO,70,0.9663160154572779,0.00881367768025431,0.9517854474824443,0.012428080205631716,0.9623137582463432,0.009572245773094599,0.9663160154572779,0.00881367768025431
pima,RLO,70,0.7017740429505135,0.02371071139959533,0.6252711574883668,0.042146029739615565,0.7003523406503527,0.03200654077015108,0.7017740429505135,0.02371071139959533
ecoli2,RLO,70,0.8154960491659349,0.0406013095783817,0.40393854511501576,0.289844178468723,0.5878149562805439,0.37197462846589957,0.8154960491659349,0.0406013095783817
vowel0,RLO,70,0.9087524996154437,0.07180061735525788,0.6302810956822691,0.1639152768081349,0.8031051210657815,0.09025042114097571,0.9087524996154437,0.07180061735525788
glass1,RLO,80,0.5931339977851605,0.06887616463107442,0.3999281290540584,0.16592271770144298,0.4984155450984365,0.14177610138082838,0.5931339977851605,0.06887616463107442
wisconsin,RLO,80,0.9619257191927867,0.008548484276964903,0.9469955507976386,0.011671324437993852,0.9638217838487722,0.008069426879502873,0.9619257191927867,0.008548484276964903
pima,RLO,80,0.649834479246244,0.04495700859322052,0.5867740631364498,0.06103350602874918,0.6619119204326032,0.052510052428033985,0.649834479246244,0.04495700859322052
ecoli2,RLO,80,0.8246707638279192,0.09092816177997097,0.5667566643882433,0.1738926659424295,0.7647544170983187,0.15838480502774208,0.8246707638279192,0.09092816177997097
